transaction_id,transaction_amount,transaction_time,merchant_category,payment_method,card_present,customer_age,account_age_days,average_transaction_amount,transaction_amount_deviation,billing_country,transaction_country,location_mismatch,distance_from_home_km,international_transaction,device_type,device_trust_score,new_device,ip_risk_score,vpn_or_proxy,failed_authentication_attempts,transactions_last_1h,transactions_last_24h,transactions_last_7d,amount_spent_last_24h,unique_merchants_last_24h,merchant_risk_score,is_new_merchant,transaction_hour,day_of_week,is_weekend,is_night,authentication_method,authentication_success,cvv_match,previous_fraud_count,is_fraud
TXN100000,179.71,2025-06-01 02:29:28,online_retail,debit_card,0,67,92,72.45,1.48,US,IN,1,1093.0,1,tablet,37.6,1,96.9,1,2,1,4,8,240.74,4,38.0,0,2,6,1,1,otp,1,1,1,1
TXN100001,362.02,2025-06-01 03:02:52,gas_station,digital_wallet,0,32,577,78.84,3.592,US,US,0,0.0,0,pos_terminal,0.0,1,47.0,0,1,1,2,5,121.14,1,37.9,1,3,6,1,1,biometric,1,1,0,1
TXN100002,28.7,2025-06-01 04:24:57,healthcare,credit_card,0,37,708,20.92,0.372,IN,IN,0,0.0,0,mobile,96.9,0,46.8,1,0,0,0,8,0.0,0,22.2,0,4,6,1,1,otp,1,1,1,0
TXN100003,537.85,2025-06-01 04:36:13,online_retail,debit_card,0,18,731,87.27,5.163,US,US,0,0.0,0,mobile,30.0,0,46.8,0,0,1,4,7,470.94,1,17.2,0,4,6,1,1,otp,1,0,0,1
TXN100004,52.81,2025-06-01 05:25:53,utilities,credit_card,1,37,53,34.27,0.541,US,US,0,20.4,0,mobile,60.0,0,0.0,0,0,0,0,0,0.0,0,11.7,0,5,6,1,1,pin,1,1,0,0
TXN100005,106.64,2025-06-01 05:29:42,online_retail,debit_card,0,58,330,57.65,0.85,AU,AU,0,40.0,1,pos_terminal,66.1,0,0.0,0,0,0,1,9,64.27,1,27.9,0,5,6,1,1,password,1,1,0,0
TXN100006,93.02,2025-06-01 06:29:54,travel,credit_card,0,64,1244,101.6,-0.084,US,US,0,2.5,0,mobile,90.4,0,40.4,1,0,0,2,6,324.36,1,45.6,1,6,6,1,0,password,1,1,0,0
TXN100007,76.49,2025-06-01 06:46:07,gas_station,credit_card,0,44,797,87.51,-0.126,US,US,0,10.3,0,pos_terminal,49.3,0,9.4,0,0,0,1,10,107.73,1,6.0,0,6,6,1,0,biometric,1,1,0,0
TXN100008,13.16,2025-06-01 06:59:07,grocery,credit_card,1,52,78,15.18,-0.133,RU,RU,0,17.6,0,mobile,75.4,0,24.2,0,0,0,0,5,0.0,0,19.9,0,6,6,1,0,biometric,1,1,0,0
TXN100009,41.01,2025-06-01 07:20:52,grocery,credit_card,1,61,200,27.96,0.467,US,US,0,23.2,0,pos_terminal,80.2,0,22.3,0,0,0,1,8,28.75,1,16.8,0,7,6,1,0,pin,1,1,0,0
TXN100010,31.54,2025-06-01 07:21:20,online_retail,debit_card,0,50,204,48.35,-0.348,DE,DE,0,23.3,0,mobile,75.6,0,36.0,0,1,0,2,7,71.09,2,40.1,1,7,6,1,0,biometric,1,1,0,0
TXN100011,17.89,2025-06-01 07:27:35,clothing,credit_card,0,44,344,14.06,0.272,DE,DE,0,4.0,0,pos_terminal,100.0,0,15.2,0,1,0,2,5,36.45,1,17.3,0,7,6,1,0,password,1,1,0,0
TXN100012,24.21,2025-06-01 07:34:02,restaurant,credit_card,1,42,947,37.7,-0.358,US,US,0,8.8,0,mobile,95.0,0,13.6,0,0,0,1,4,72.4,1,27.9,1,7,6,1,0,pin,1,1,0,0
TXN100013,30.36,2025-06-01 07:49:55,clothing,debit_card,1,48,1504,146.74,-0.793,BR,BR,0,28.9,0,desktop,82.0,0,16.2,0,0,0,0,3,0.0,0,8.5,0,7,6,1,0,pin,1,1,0,0
TXN100014,93.33,2025-06-01 08:10:18,clothing,debit_card,1,66,287,115.85,-0.194,SG,SG,0,39.0,0,mobile,74.7,0,13.1,0,0,0,1,13,78.42,1,6.5,0,8,6,1,0,pin,1,1,0,0
